id,title,revenue,vote_average,imdb_id,original_title,overview,popularity,poster_path,genres,keywords
436245,Daphne,0,5.8,tt5467554,Daphne,"Daphne is a young woman negotiating the tricky business of modern life. Caught in the daily rush of her restaurant job and a nightlife kaleidoscope of new faces, she is witty, funny, the life of the party. Too busy to realise that deep down she is not happy. When she saves the life of a shopkeeper stabbed in a failed robbery, the impenetrable armour she wears to protect herself begins to crack, and Daphne is forced to confront the inevitability of a much-needed change in her life.",2.368,/dML8OAPjmwAYS1nXx0xRCaWrRxB.jpg,"Comedy, Drama","robbery, drug abuse, parent child relationship, cooking, life-saver, growing up, loner, traumatic experience"
1275261,Rebellious,0,7.4,tt32155919,Rebellious,"In this modern twist on a classic fairy tale, a headstrong princess is stolen by an evil sorcerer, and her scholarly fiancé must use his wits in an epic quest to find her while she boldly challenges her captors and plots a daring escape.",1.766,/kUAP8vw4Bklp9Z01H9K0k6iRihk.jpg,"Animation, Comedy, Family, Fantasy, Adventure","feminism, based on fairy tale"
856273,The Last Boy on Earth,0,6.029,tt27498099,The Last Boy on Earth,"In a distant future, a mysterious boy becomes the central figure in the search for a new hope. Who is this kid? Why is everyone looking for it? Sometimes it is better not to know certain answers…",1.765,/gXHYWMaxG0Gs5PJMKX6M8AZnZ5L.jpg,"Science Fiction, Horror, Adventure",
1210989,Teasing Master Takagi-san,2694016,7.8,tt30971598,からかい上手の高木さん,"Takagi, now grown up, revisits her middle school as a trainer. She encounters Nishikata, her former classmate she used to tease, now a PE teacher there. Their playful dynamic resumes, leading to more interactions between the two.",1.762,/sBzPJ4z1CSjGxK0wM1n5MUQjDdd.jpg,"Comedy, Romance","romance, slice of life, based on manga, teachers"
937086,Turn Me On,0,6.2,tt18161082,Turn Me On,"In a world where the inconvenience of human emotion has been eradicated by a single daily vitamin, one young couple skips their dose and discovers love, joy, sex, and all the baggage that comes with it.",2.929,/mRO1wq5g4OJnEvRHfE1tpgIzQEV.jpg,"Science Fiction, Romance, Drama",
1141182,Die Alone,0,5.8,tt21097192,Die Alone,"Lost in a world reclaimed by nature and overrun by mysterious creatures, Ethan, a young man with amnesia navigates the dangerous landscape in search of his lost love Emma.  His journey takes an unexpected turn when he encounters Mae, a hardened and eccentric survivor.  Together, Ethan and Mae face threats both human and otherwise before a fateful encounter with Kai unravels a secret that lies just beyond Ethan's fractured memory.",20.224,/jg5WvZPpGpnTrwKbLAihf33OVSL.jpg,"Horror, Thriller, Science Fiction","outbreak, zombie, zombie apocalypse"
1163194,Lost Ladies,0,7.73,tt21626284,लापता लेडीज़,"In 2001, somewhere in rural India, two young brides get accidentally swapped on a train. In the ensuing chaos, they both encounter a host of colourful characters, resulting in hilarious and unexpected consequences.",12.097,/yXt07MYeiyQRzS69PMHy0BPjCGP.jpg,"Comedy, Drama, Romance","bride, rural india, bollywood, adventure"
1196942,Mere Husband Ki Biwi,0,10.0,tt22457506,मेरे हज़्बन्ड की बीवी,"A hilarious and heartwarming modern-day romance set in Delhi, where love, fate, and unexpected twists put one man in a chaotic dilemma. Caught between a rekindled spark with Antara and an unexpected twist with Prabhleen, Ankur’s life takes a hilariously unpredictable turn.",12.029,/fQMBYG4JOD6WN8QzViPYqxuIsru.jpg,"Drama, Comedy",bollywood
1222049,Nilavuku En Mel Ennadi Kobam,0,6.0,tt30590474,நிலவுக்கு என் மேல் என்னடி கோபம்,"All set to move on with his life, a boy unexpectedly reconnects with his past love in this rom-com directed by Dhanush",20.015,/41KBhIX2VYXxAfgs9W23LhHP7AF.jpg,"Romance, Drama",gen z
739405,Operation Fortune: Ruse de Guerre,37800000,6.481,tt7985704,Operation Fortune: Ruse de Guerre,Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.,19.964,/uo7vWfQUlVwueYTDRicXOJa8Oow.jpg,"Action, Thriller, Comedy, Adventure","martial arts, london, england, showdown, madrid, spain, espionage, spy, secret agent, shootout, cannes, france"
